| Puzzle # | BTC Reward (approx) | Address                            |
| -------- | ------------------: | ---------------------------------- |
| **#71**  |             7.1 BTC | 1PWo3JeB9jrGwfHDNpdGK54CRas7fsVzXU |
| **#72**  |             7.2 BTC | 1JTK7s9YVYywfm5XUH7RNhHJH1LshCaRFR |
| **#73**  |             7.3 BTC | 12VVRNPi4SJqUTsp6FmqDqY5sGosDtysn4 |
| **#74**  |             7.4 BTC | 1FWGcVDK3JGzCC3WtkYetULPszMaK2Jksv |
| **#76**  |             7.6 BTC | 1DJh2eHFYQfACPmrvpyWc8MSTYKh7w9eRF |
| **#77**  |             7.7 BTC | 1Bxk4CQdqL9p22JEtDfdXMsng1XacifUtE |
| **#78**  |             7.8 BTC | 15qF6X51huDjqTmF9BJgxXdt1xcj46Jmhb |
| **#79**  |             7.9 BTC | 1ARk8HWJMn8js8tQmGUJeQHjSE7KRkn2t8 |
| **#81**  |             8.1 BTC | 15qsCm78whspNQFydGJQk5rexzxTQopnHZ |
| **#82**  |             8.2 BTC | 13zYrYhhJxp6Ui1VV7pqa5WDhNWM45ARAC |
| **#83**  |             8.3 BTC | 14MdEb4eFcT3MVG5sPFG4jGLuHJSnt1Dk2 |
| **#84**  |             8.4 BTC | 1CMq3SvFcVEcpLMuuH8PUcNiqsK1oicG2D |
| **#86**  |             8.6 BTC | 1K3x5L6G57Y494fDqBfrojD28UJv4s5JcK |
| **#87**  |             8.7 BTC | 1PxH3K1Shdjb7gSEoTX7UPDZ6SH4qGPrvq |
| **#88**  |             8.8 BTC | 16AbnZjZZipwHMkYKBSfswGWKDmXHjEpSf |
| **#89**  |             8.9 BTC | 19QciEHbGVNY4hrhfKXmcBBCrJSBZ6TaVt |
| **#91**  |             9.1 BTC | 1EzVHtmbN4fs4MiNk3ppEnKKhsmXYJ4s74 |
| **#92**  |             9.2 BTC | 1AE8NzzgKE7Yhz7BWtAcAAxiFMbPo82NB5 |
| **#93**  |             9.3 BTC | 17Q7tuG2JwFFU9rXVj3uZqRtioH3mx2Jad |
| **#94**  |             9.4 BTC | 1K6xGMUbs6ZTXBnhw1pippqwK6wjBWtNpL |
| **#96**  |             9.6 BTC | 15ANYzzCp5BFHcCnVFzXqyibpzgPLWaD8b |
| **#97**  |             9.7 BTC | 18ywPwj39nGjqBrQJSzZVq2izR12MDpDr8 |
| **#98**  |             9.8 BTC | 1CaBVPrwUxbQYYswu32w7Mj4HR4maNoJSX |
| **#99**  |             9.9 BTC | 1JWnE6p6UN7ZJBN7TtcbNDoRcjFtuDWoNL |
| **#101** |            10.1 BTC | 1CKCVdbDJasYmhswB6HKZHEAnNaDpK7W4n |
| **#102** |            10.2 BTC | 1PXv28YxmYMaB8zxrKeZBW8dt2HK7RkRPX |
| **#103** |            10.3 BTC | 1AcAmB6jmtU6AiEcXkmiNE9TNVPsj9DULf |
| **#104** |            10.4 BTC | 1EQJvpsmhazYCcKX5Au6AZmZKRnzarMVZu |
| **#106** |            10.6 BTC | 18KsfuHuzQaBTNLASyj15hy4LuqPUo1FNB |
| **#107** |            10.7 BTC | 15EJFC5ZTs9nhsdvSUeBXjLAuYq3SWaxTc |
| **#108** |            10.8 BTC | 1HB1iKUqeffnVsvQsbpC6dNi1XKbyNuqao |
| **#109** |            10.9 BTC | 1GvgAXVCbA8FBjXfWiAms4ytFeJcKsoyhL |
| **#111** |            11.1 BTC | 1824ZJQ7nKJ9QFTRBqn7z7dHV5EGpzUpH3 |
| **#112** |            11.2 BTC | 18A7NA9FTsnJxWgkoFfPAFbQzuQxpRtCos |
| **#113** |            11.3 BTC | 1NeGn21dUDDeqFQ63xb2SpgUuXuBLA4WT4 |
| **#114** |            11.4 BTC | 174SNxfqpdMGYy5YQcfLbSTK3MRNZEePoy |
| **#116** |            11.6 BTC | 1MnJ6hdhvK37VLmqcdEwqC3iFxyWH2PHUV |
| **#117** |            11.7 BTC | 1KNRfGWw7Q9Rmwsc6NT5zsdvEb9M2Wkj5Z |
| **#118** |            11.8 BTC | 1PJZPzvGX19a7twf5HyD2VvNiPdHLzm9F6 |
| **#119** |            11.9 BTC | 1GuBBhf61rnvRe4K8zu8vdQB3kHzwFqSy7 |
| **#121** |            12.1 BTC | 1GDSuiThEV64c166LUFC9uDcVdGjqkxKyh |
| **#122** |            12.2 BTC | 1Me3ASYt5JCTAK2XaC32RMeH34PdprrfDx |
| **#123** |            12.3 BTC | 1CdufMQL892A69KXgv6UNBD17ywWqYpKut |
| **#124** |            12.4 BTC | 1BkkGsX9ZM6iwL3zbqs7HWBV7SvosR6m8N |
| **#126** |            12.6 BTC | 1AWCLZAjKbV1P7AHvaPNCKiB7ZWVDMxFiz |
| **#127** |            12.7 BTC | 1G6EFyBRU86sThN3SSt3GrHu1sA7w7nzi4 |
| **#128** |            12.8 BTC | 1MZ2L1gFrCtkkn6DnTT2e4PFUTHw9gNwaj |
| **#129** |            12.9 BTC | 1Hz3uv3nNZzBVMXLGadCucgjiCs5W9vaGz |
| **#131** |            13.1 BTC | 16zRPnT8znwq42q7XeMkZUhb1bKqgRogyy |
| **#132** |            13.2 BTC | 1KrU4dHE5WrW8rhWDsTRjR21r8t3dsrS3R |
| **#133** |            13.3 BTC | 17uDfp5r4n441xkgLFmhNoSW1KWp6xVLD  |
| **#134** |            13.4 BTC | 13A3JrvXmvg5w9XGvyyR4JEJqiLz8ZySY3 |
| **#135** |            13.5 BTC | 16RGFo6hjq9ym6Pj7N5H7L1NR1rVPJyw2v |
| **#136** |            13.6 BTC | 1UDHPdovvR985NrWSkdWQDEQ1xuRiTALq  |
| **#137** |            13.7 BTC | 15nf31J46iLuK1ZkTnqHo7WgN5cARFK3RA |
| **#138** |            13.8 BTC | 1Ab4vzG6wEQBDNQM1B2bvUz4fqXXdFk2WT |
| **#139** |            13.9 BTC | 1Fz63c775VV9fNyj25d9Xfw3YHE6sKCxbt |
| **#140** |            14.0 BTC | 1QKBaU6WAeycb3DbKbLBkX7vJiaS8r42Xo |
| **#141** |            14.1 BTC | 1CD91Vm97mLQvXhrnoMChhJx4TP9MaQkJo |
| **#142** |            14.2 BTC | 15MnK2jXPqTMURX4xC3h4mAZxyCcaWWEDD |
| **#143** |            14.3 BTC | 13N66gCzWWHEZBxhVxG18P8wyjEWF9Yoi1 |
| **#144** |            14.4 BTC | 1NevxKDYuDcCh1ZMMi6ftmWwGrZKC6j7Ux |
| **#145** |            14.5 BTC | 19GpszRNUej5yYqxXoLnbZWKew3KdVLkXg |
| **#146** |            14.6 BTC | 1M7ipcdYHey2Y5RZM34MBbpugghmjaV89P |
| **#147** |            14.7 BTC | 18aNhurEAJsw6BAgtANpexk5ob1aGTwSeL |
| **#148** |            14.8 BTC | 1FwZXt6EpRT7Fkndzv6K4b4DFoT4trbMrV |
| **#149** |            14.9 BTC | 1CXvTzR6qv8wJ7eprzUKeWxyGcHwDYP1i2 |
| **#150** |            15.0 BTC | 1MUJSJYtGPVGkBCTqGspnxyHahpt5Te8jy |
| **#151** |            15.1 BTC | 13Q84TNNvgcL3HJiqQPvyBb9m4hxjS3jkV |
| **#152** |            15.2 BTC | 1LuUHyrQr8PKSvbcY1v1PiuGuqFjWpDumN |
| **#153** |            15.3 BTC | 18192XpzzdDi2K11QVHR7td2HcPS6Qs5vg |
| **#154** |            15.4 BTC | 1NgVmsCCJaKLzGyKLFJfVequnFW9ZvnMLN |
| **#155** |            15.5 BTC | 1AoeP37TmHdFh8uN72fu9AqgtLrUwcv2wJ |
| **#156** |            15.6 BTC | 1FTpAbQa4h8trvhQXjXnmNhqdiGBd1oraE |
| **#157** |            15.7 BTC | 14JHoRAdmJg3XR4RjMDh6Wed6ft6hzbQe9 |
| **#158** |            15.8 BTC | 19z6waranEf8CcP8FqNgdwUe1QRxvUNKBG |
| **#159** |            15.9 BTC | 14u4nA5sugaswb6SZgn5av2vuChdMnD9E5 |
| **#160** |            16.0 BTC | 1NBC8uXJy1GiJ6drkiZa1WuKn51ps7EPTv |
